author,commits,fixes,bugs,sign-off,test,review,report
Matt Fleming,395,0,0,783,11,110,10
Sara Sharon,394,40,18,398,1,0,1
Dmitry Osipenko,393,27,6,397,45,96,18
Lai Jiangshan,393,2,0,407,0,104,10
Pavel Machek,393,6,2,496,104,68,60
Ryusuke Konishi,392,0,0,486,14,3,1
Nishanth Menon,391,29,4,495,81,24,20
Alex Williams,387,26,5,3,0,0,1
Jouni Malinen,385,6,2,440,5,5,45
Nikolay Aleksandrov,383,86,10,457,6,84,5
Grygorii Strashko,382,36,7,446,13,111,24
Geliang Tang,381,2,1,382,0,0,1
Robert Jarzmik,380,31,19,505,44,19,8
Michael Neuling,380,16,10,432,13,5,11
Santosh Shilimkar,380,2,0,857,106,127,10
Michael Straube,378,2,0,378,0,0,0
Tetsuo Handa,376,28,1,393,22,13,87
Parav Pandit,375,85,24,393,0,113,11
Gerd Hoffmann,370,8,5,566,5,27,2
Ondrej Zary,370,1,1,370,122,0,7
Mika Kuoppala,368,13,3,484,15,983,24
Ursula Braun,366,33,15,595,2,61,2
Shannon Nelson,365,14,11,415,1,42,3
Srinivas Pandruvada,365,18,7,391,19,47,6
Jason Wang,365,55,24,374,7,30,15
Qu Wenruo,361,33,24,366,1,175,10
Harry Wentland,360,3,0,386,0,748,0
Steve Wise,357,28,14,457,101,210,13
Miquel Raynal,354,36,9,869,10,64,2
Christoffer Dall,354,12,4,865,1,451,10
Mark Fasheh,354,0,0,934,0,90,1
Nishka Dasgupta,353,4,0,353,0,0,0
Cornelia Huck,348,5,1,500,10,481,9
Wanpeng Li,343,23,3,348,14,85,10
Vivek Goyal,342,10,3,349,10,1,17
Marcelo Tosatti,342,1,1,1419,3,87,10
Heikki Krogerus,340,32,20,360,9,139,3
Sean Paul,339,39,5,881,12,474,5
Sebastian Reichel,338,11,2,1389,65,411,4
Nicolas Dichtel,338,83,15,357,8,1,14
Shawn Lin,336,24,4,348,14,130,4
Brian King,336,0,0,353,1,41,4
Corey Minyard,335,4,1,524,0,2,0
Steffen Klassert,334,52,16,750,0,0,4
Kent Overstreet,333,1,1,360,2,14,9
Christophe JAILLET,332,102,0,428,0,0,2
Dave Martin,332,35,18,344,28,116,5
Mike Isely,331,0,0,366,1,3,0
Jon Mason,330,26,7,608,1,1,2
John Whitmore,330,0,0,330,0,0,0
Daniel Drake,329,6,0,417,35,21,19
Liam Girdwood,329,0,0,1067,0,4,2
Lukas Wunner,328,45,6,336,32,31,5
Douglas Anderson,327,77,4,356,74,294,9
Eduardo Valentin,326,2,1,1086,21,28,2
Juergen Gross,317,27,1,528,63,266,4
Paul Moore,317,9,1,832,7,22,5
Amir Goldstein,316,63,36,334,5,121,15
Jarod Wilson,315,9,4,408,24,17,6
Suman Anna,313,14,0,373,5,8,9
Saeed Mahameed,313,66,15,2251,0,57,2
Vladimir Kondratiev,313,3,1,342,0,0,3
